Competitor,Angle Category,Hook Copy,Transcript,Visual Style,Nicho,Longevity Tier
Beleza Brasileira,Pain-to-Solution,"Bumbum Cream + Esfrega juntos firmam, suavizam estrias e melhoram a textura da pele",Música,,Beleza,Testing
Creamy Skincare,Pain-to-Solution,"Se poros visíveis e oleosidade te incomodam, o novo Pore Refiner foi feito para isso","Tem pele que não precisa de mais cobertura, precisa de menos textura. Muitas vezes você olha no espelho e não é acne, é só uma pele que nunca parece lisa, sempre com relevo, uma textura que incomoda. E aí muita gente tenta resolver com maquiagem, mas a textura continua lá. Quando a queixa é esse micro relevo, poro mais evidente, eu gosto de focar em refinamento, melhorar a textura da pele no dia a dia. E o Pore Refiner da Creamy entra perfeitamente nisso, porque ajuda a manter os poros mais desobstruídos e a pele com um toque mais uniforme. Menos relevo, mais pele lisa de verdade.","Aqui está a análise:

1.  **Formato visual:** Aplicação de produto e close-ups de pele.
2.  **Iluminação:** Natural/Orgânico, simulando luz de janela.
3.  **Foco na pele:** Textura realista visível.
4.  **Paleta de cores:** Fresco, vibrante e suave.
5.  **Qualidade de produção:** Semi-profissional/UGC elevado.
6.  **Elemento principal de atenção:** A textura da pele e o produto sendo aplicado para melhorá-la.",Beleza,Long-Runner
Plato,Lifestyle/Aspiration,conjunto xadrez que eleva qualquer produção 🖤,"Lançamento de três peças Calça, alfaiatari, colete e blazer E o look é esse, amor Repete comigo, chiquilão A lei Eu trouxe slick cheio do topê Derruba um jack, bola uma track Sempre existe mais dinheiro a fazer Dinheiro a fazer Sempre existe mais dinheiro a fazer","Aqui está a análise do vídeo:

1.  **Formato visual:** Showcase de produto com apresentação de lifestyle e talking head.
2.  **Iluminação:** Misto. Predomínio de luzes internas, bem distribuídas e orgânicas ao ambiente.
3.  **Ambiente:** Interno, em um apartamento ou casa moderna e clean.
4.  **Paleta de cores:** Neutra (preto, branco, cinza), com toques de vinho.
5.  **Qualidade de produção:** Semi-profissional, com boa edição e imagem clara.
6.  **Elemento principal de atenção:** A apresentadora carismática e o conjunto de roupa xadrez.",Moda,Performer
Beleza Brasileira,Pain-to-Solution,Use o CUPOM🏷️PAOLA10 para garantir desconto no seu colágeno boost no site oficial: belezabrasileira,"Se você não quer chegar aos 40 anos com o pescoço e o colo todo enrugado e flácidos, não sai desse vídeo. Amiga, eu tenho mais de 35 anos e eu comecei a perceber algumas linhas e uma leve flacidez no meu pescoço e no meu colo. E a verdade é que a maioria de nós cuida muito do rosto, mas esquece dessa região. Só que depois dos 30 anos, a produção de colágeno começa a diminuir. E os sinais do tempo aparecem justamente onde a pele é mais fina e delicada. pensando nisso a beleza brasileira lançou um produto desenvolvido especialmente para a pele do pescoço e do colo na sua fórmula contém niacinamida, bioestimulador de colágeno e outros ativos que ajudam a melhorar a firmeza da pele suavizar as linhas e deixar a região com aspecto mais uniforme e bonito então aí fica o meu alerta, não espero os sinais ficarem mais evidentes para começar a cuidar dessa região eu já estou usando todos os dias e estou notando muito resultado Acesse o site da Beleza Brasileira e use o meu cupom PAOLA10 para garantir desconto no teu colágeno boost.","Aqui está a análise:

1.  **Formato visual:** UGC talking head / aplicação de produto.
2.  **Iluminação:** Estúdio/Ring Light (controlada e lisonjeira).
3.  **Foco corporal:** Pescoço e colo (com aplicação do produto).
4.  **Paleta de cores:** Rosa, roxo, neutros quentes.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A apresentadora e demonstração do produto.",Beleza,Testing
Beleza Brasileira,Benefit/Result,O autocuidado que os seus glúteos merecem,"O que você vai sentir na primeira aplicação, quando você passar? Na primeira. Literalmente, é um produto tão potente que na primeira aplicação você vai sentir o quê? O seu glúteo mais firme. É bizarro. Na primeira. Eu sei tanto o que eu tô falando, eu confio tanto na marca, que eu falo pra você. Quando você comprar, chegar na sua casa, a primeira vez que você usar, você vai se olhar no espelho e você vai falar, não tava tão assim antes, não. Bizarro. Então, ele vai te ajudar nesse aspecto do glúteo como um todo. Então eu passei agora nas duas E eu sempre falo pra vocês esperarem um pouco secar Antes de colocar a roupa Deixa a sua pele absorver bem E antes de qualquer coisa, ele é um hidratante Certo? Ele é um hidratante pro glúteo Então só o fato de você estar hidratando O seu glúteo, essa pele É maravilhoso","Aqui está a análise:

1.  **Formato visual:** UGC talking head com breve demonstração do produto.
2.  **Iluminação:** Natural/Orgânico, vindo de uma fonte externa, gerando luz suave.
3.  **Foco corporal:** Demonstração geral do produto nas mãos, com explicação verbal focada no uso para glúteos.
4.  **Paleta de cores:** Branco, lilás e detalhes em vermelho.
5.  **Qualidade de produção:** UGC casual bem produzido.
6.  **Elemento principal de atenção:** A apresentadora (influencer) e sua explicação confiante sobre o produto.",Beleza,Performer
Insider Store,Benefit/Result,Elegante ou confortável,"Elegante ou confortável? Você ainda escolhe entre esses dois? Meu nome é Andréia Reis, eu sou jornalista, mãe de três filhos e eu viajo o mundo com a minha família, compartilhando dicas para você viajar mais e melhor. Depois que eu virei mãe, o conforto virou uma prioridade para mim. Baseado nesse contexto, eu separei as três peças mais confortáveis que eu tenho da Insider no meu closet para vocês. Em novembro está rolando a Black Friday da Insider. Juntando o meu cupom mais os descontos do site, você consegue até 50% de desconto. Mas não demora, porque o produto dura, mas o estoque não.","Aqui está a análise do vídeo:

1.  **Formato visual:** Showcase de produto com talking head e elementos lifestyle.
2.  **Iluminação:** Natural/Orgânico. A luz é difusa e uniforme, vinda de janelas, complementada para evitar sombras duras.
3.  **Ambiente:** Interno (ambiente residencial/decorado).
4.  **Paleta de cores:** Neutro, preto e vibrante (vermelho).
5.  **Qualidade de produção:** Semi-profissional. Vídeo bem editado, com boa iluminação e áudio, feito em ambiente controlado.
6.  **Elemento principal de atenção:** A apresentadora sorridente e as trocas dinâmicas de vestuário.",Moda,Long-Runner
Beleza Brasileira,Pain-to-Solution,🏷️ THAISULLIVAN,"Amiga, se você treina e ainda não usa esse creme, você tá perdendo tempo. Eu uso o Bumbum Cream antes do treino de perna, porque ele tem ação termogênica. Ele esquenta a perna, ativa a circulação e dá aquela sensação de que o músculo já acordou. E se sua pele ficar vermelhinha, calma. Não é alergia, é o produto agindo de forma certa. Isso acontece porque a ação termogênica aumenta o fluxo sanguíneo da região. Ele tem pimenta, cafeína e arnica. Ah, e durante o treino a gente esquenta muito, tá? Que é pra gente treinar e suar. Ele auxilia na redução da celulite e uniformiza a textura da pele para ficar mais lisa e macia. Hidrata profundamente e ajuda a prevenir pelos encravados. Ah, e se manter hidratado é essencial, tá? Agora corre pro site e garanta o seu.",,Beleza,Performer
Creamy Skincare,Pain-to-Solution,"O Glicointense Creamy atua na renovação profunda da pele, ajudando a desobstruir os poros e a suavizar manchas causadas por acúmulo de células mortas e irregularidades da textura","Se você tem poros dilatados, filamentos sebáceos no nariz, oleosidade na pele, manchas de acne, e além de melhorar tudo isso, você também quer estimular a produção de colágeno pra ter uma pele mais firme, você precisa começar a usar esse produto. Só pra vocês verem, esse aqui é o antes e depois dos meus poros, e dá pra ver como eles estão bem mais discretos. Esse aqui é o produto que eu tenho usado, o Glico Intense Pilda Creamy. Se você já usou o azulzinho de ácido glicólico, saiba que esse aqui é mais potente, tá? Porque ele tem ácido glicólico, ácido salicílico, niacinamida e ácido maltobionico. Legal, Rai, mas como que usa? Eu uso sempre à noite. Após limpar a pele, eu aplico um pump dele no rosto todo. Aí eu aguardo uns 20 a 30 minutos e aplico um hidratante facial por cima, porque eu tenho pele sensível. Se a sua pele for mais sensível ainda, aí você pode aplicar um hidratante facial tanto antes quanto depois dele. É interessante você usar ele de duas a três vezes na semana e você só aumenta a frequência se a sua pele tolerar. Creamy. O resultado da ciência na sua pele.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head / aplicação de produto / antes-depois.
2.  **Iluminação:** Estúdio/Ring Light.
3.  **Foco na pele:** Textura realista visível.
4.  **Paleta de cores:** Neutros, verde-água.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A apresentadora (testemunho) e as imagens de antes-depois.",Beleza,Long-Runner
Plato,Product Experience,blusa de tricot bufante que já é o look do dia 🎀,"Já com a nossa blusa no café, amor, o que tá isso daqui? A Tchanei com a nossa saia, lindíssima, com franjas e couro. Sinto que faz parte dos nossos lançamentos também. E vocês têm noção que essa blusa é apenas R$149,00? Olha os detalhes, olha o quanto esse tricô modal dela é impecável. E é uma blusa que ela, por si só, faz todo o trabalho do look. Olha isso. Lindíssimo. E a saia, ó, vocês podem ajustar, pode descer ela mais. Pode utilizar com cinto ou sem, tá? Porque ela já tem um cos aqui lindíssimo, super diferenciado. Coloquei uma meia que também faz parte da nossa curadoria. E se você amou, corre pro site, tá? Porque essa reposição, ela vai durar, sim, questão de segundos no nosso site.","1.  **Formato visual:** Showcase de produto (Estilo Talking Head)
2.  **Iluminacao:** Misto. Predominantemente artificial (spotlights e fitas de LED no teto) com um toque orgânico e quente.
3.  **Ambiente:** Interno (apartamento/showroom moderno).
4.  **Paleta de cores:** Neutra e sofisticada.
5.  **Qualidade de producao:** Semi-profissional.
6.  **Elemento principal de atencao:** A modelo e o dinamismo da saia de franjas.",Moda,Solid
Plato,Benefit/Result,tweed com acabamento impecável — o conjunto que já é o look 🤎,"Uau, posso falar uma coisa? Que lançamento é esse? Conjunto lindíssimo no tweed de short e casaco pra compor mais um lançamento. O difícil vai ser você escolher uma cor só. Pra compor uma blusa lindíssima, manga bufante, de apenas 149. Agora vamos adicionar ele. Amor, que tal isso daqui? Max casaco, todo forrado por dentro, super grossinho, com botões. Já tô vendo isso daqui esgotar no nosso site em 3, 2, 1. E o resultado final é esse. Se você amou, clica aqui agora pra garantir. Porque os nossos lançamentos são limitados. Esgota muito rápido. E com isso não vai ser diferente. Um beijo.","Aqui está a análise:

1.  **Formato visual:** Showcase de produto com elementos de talking head.
2.  **Iluminação:** Misto. Luzes embutidas no teto e boa iluminação ambiente natural.
3.  **Ambiente:** Interno (ambiente residencial, como uma sala ou corredor).
4.  **Paleta de cores:** Tons terrosos, neutros e quentes.
5.  **Qualidade de produção:** Semi-profissional (boa edição, estabilidade e iluminação).
6.  **Elemento principal de atenção:** A apresentadora expressiva e a demonstração dinâmica do look.",Moda,Performer
